State,County,Poor mental health days,Mental health providers
NC,Alamance County,3.6,76.0
NC,Alamance County,3.6,140.0
NC,Alexander County,4.6,18.0
NC,Alexander County,4.6,43.0
NC,Alleghany County,4.4,145.0
NC,Alleghany County,4.4,229.0
NC,Anson County,,83.0
NC,Anson County,,149.0
NC,Ashe County,3.5,95.0
NC,Ashe County,3.5,169.0
NC,Avery County,2.7,224.0
NC,Avery County,2.7,356.0
NC,Beaufort County,2.4,75.0
NC,Beaufort County,2.4,118.0
NC,Bertie County,2.3,27.0
NC,Bertie County,2.3,49.0
NC,Bladen County,4.2,37.0
NC,Bladen County,4.2,55.0
NC,Brunswick County,3.5,52.0
NC,Brunswick County,3.5,79.0
NC,Buncombe County,3.8,296.0
NC,Buncombe County,3.8,463.0
NC,Burke County,4.8,144.0
NC,Burke County,4.8,220.0
NC,Cabarrus County,3.2,168.0
NC,Cabarrus County,3.2,239.0
NC,Caldwell County,3.8,29.0
NC,Caldwell County,3.8,60.0
NC,Camden County,2.2,40.0
NC,Camden County,2.2,59.0
NC,Carteret County,3.4,71.0
NC,Carteret County,3.4,120.0
NC,Caswell County,4.6,28.0
NC,Caswell County,4.6,39.0
NC,Catawba County,3.7,131.0
NC,Catawba County,3.7,192.0
NC,Chatham County,3.6,73.0
NC,Chatham County,3.6,97.0
NC,Cherokee County,3.1,106.0
NC,Cherokee County,3.1,143.0
NC,Chowan County,3.8,53.0
NC,Chowan County,3.8,95.0
NC,Clay County,5.2,47.0
NC,Clay County,5.2,47.0
NC,Cleveland County,5.0,74.0
NC,Cleveland County,5.0,125.0
NC,Columbus County,4.5,89.0
NC,Columbus County,4.5,162.0
NC,Craven County,3.2,133.0
NC,Craven County,3.2,181.0
NC,Cumberland County,4.0,169.0
NC,Cumberland County,4.0,262.0
NC,Currituck County,,37.0
NC,Currituck County,,41.0
NC,Dare County,4.1,89.0
NC,Dare County,4.1,163.0
NC,Davidson County,4.4,50.0
NC,Davidson County,4.4,77.0
NC,Davie County,2.9,24.0
NC,Davie County,2.9,60.0
NC,Duplin County,2.5,48.0
NC,Duplin County,2.5,62.0
NC,Durham County,2.9,378.0
NC,Durham County,2.9,502.0
NC,Edgecombe County,2.1,40.0
NC,Edgecombe County,2.1,59.0
NC,Forsyth County,3.0,164.0
NC,Forsyth County,3.0,246.0
NC,Franklin County,4.4,41.0
NC,Franklin County,4.4,64.0
NC,Gaston County,4.5,109.0
NC,Gaston County,4.5,191.0
NC,Gates County,4.0,8.0
NC,Gates County,4.0,9.0
NC,Graham County,3.7,34.0
NC,Graham County,3.7,46.0
NC,Granville County,3.9,205.0
NC,Granville County,3.9,263.0
NC,Greene County,2.0,29.0
NC,Greene County,2.0,57.0
NC,Guilford County,3.1,156.0
NC,Guilford County,3.1,242.0
NC,Halifax County,4.3,96.0
NC,Halifax County,4.3,144.0
NC,Harnett County,3.5,57.0
NC,Harnett County,3.5,90.0
NC,Haywood County,4.8,179.0
NC,Haywood County,4.8,279.0
NC,Henderson County,3.5,115.0
NC,Henderson County,3.5,175.0
NC,Hertford County,2.7,127.0
NC,Hertford County,2.7,192.0
NC,Hoke County,3.1,95.0
NC,Hoke County,3.1,154.0
NC,Hyde County,,75.0
NC,Hyde County,,105.0
NC,Iredell County,3.0,109.0
NC,Iredell County,3.0,170.0
NC,Jackson County,3.9,393.0
NC,Jackson County,3.9,547.0
NC,Johnston County,3.7,51.0
NC,Johnston County,3.7,83.0
NC,Jones County,6.2,
NC,Jones County,6.2,29.0
NC,Lee County,4.0,133.0
NC,Lee County,4.0,194.0
NC,Lenoir County,4.7,74.0
NC,Lenoir County,4.7,112.0
NC,Lincoln County,3.3,23.0
NC,Lincoln County,3.3,50.0
NC,Macon County,3.9,96.0
NC,Macon County,3.9,151.0
NC,Madison County,,105.0
NC,Madison County,,152.0
NC,Martin County,,75.0
NC,Martin County,,114.0
NC,McDowell County,4.5,62.0
NC,McDowell County,4.5,127.0
NC,Mecklenburg County,3.2,149.0
NC,Mecklenburg County,3.2,242.0
NC,Mitchell County,4.7,77.0
NC,Mitchell County,4.7,104.0
NC,Montgomery County,2.1,104.0
NC,Montgomery County,2.1,141.0
NC,Moore County,3.1,167.0
